Name_Station,Latitude_Station,Longitude_Station,Num_Available_Bikes,Empty_Slots,Total_Num_Bikes
10th & Cambie,49.262487,-123.114397,30,6,36
Yaletown-Roundhouse Station,49.274566,-123.121817,13,3,16
Dunsmuir & Beatty,49.279764,-123.110154,15,11,26
12th & Yukon (City Hall),49.260599,-123.113504,9,7,16
8th & Ash,49.264215,-123.117772,10,6,16
Spyglass & Seawall,49.270877,-123.115103,5,9,14
Stamps Landing,49.26893,-123.11813,7,7,14
Ontario & Seawall,49.271721,-123.104207,8,12,20
Granville & Georgia,49.282409,-123.118541,16,4,20
Pender & Burrard,49.287097,-123.118551,17,9,26
Marinaside & Davie,49.273471,-123.118016,18,4,22
Robson & Hornby,49.282758,-123.122092,24,6,30
Hornby & Pender,49.28602,-123.116624,20,2,22
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,15,5,20
Beatty & Nelson,49.275679,-123.116963,8,7,14
Abbott & Cordova,49.282759,-123.106955,10,12,22
Comox & Denman,49.288444,-123.139203,9,9,18
Cordova & Bute,49.289124,-123.12196,10,4,14
Hornby & Nelson,49.28062,-123.12482,6,11,18
Helmcken & Burrard,49.279938,-123.127478,1,14,15
Pacific & Richards,49.273663,-123.127075,4,10,14
Chilco & Beach,49.28972,-123.144028,8,6,14
Comox & Broughton,49.285253,-123.134356,7,5,12
Bute & Comox,49.283343,-123.131099,4,18,22
Cambie & Water,49.284605,-123.108662,24,8,32
Keefer & Abbott,49.279821,-123.10802,17,11,28
Expo & Carrall,49.278004,-123.105664,11,5,16
Keefer & Columbia,49.279342,-123.101822,8,6,14
Marinaside & Cooperage,49.273833,-123.114373,16,10,26
Bidwell & Burnaby,49.28526,-123.141809,11,15,26
Robson & Granville,49.281506,-123.120101,19,7,26
Expo & Smithe,49.276115,-123.114496,9,5,14
Cypress & Cornwall,49.272827,-123.147744,11,11,22
Anderson & 2nd,49.269361,-123.13782,12,16,28
7th & Granville,49.2653,-123.13811,2,12,14
10th & Granville,49.262598,-123.138921,10,4,14
14th & Granville,49.25894,-123.139272,6,8,14
14th & Cambie,49.258763,-123.115392,5,9,14
Ontario & 5th,49.266724,-123.104824,14,5,20
10th & Main,49.262141,-123.101961,5,13,18
Cypress & 4th,49.268269,-123.147885,7,11,18
Vanier Park,49.275717,-123.142564,14,14,28
Nelson & Mainland,49.276436,-123.11877,18,2,20
Nelson & Richards,49.277844,-123.120942,8,10,18
7th & Heather,49.265089,-123.119425,2,16,18
Harwood & Bute,49.28026,-123.135244,6,14,20
Chilco & Barclay,49.291909,-123.140713,3,15,18
Chilco & Robson,49.293257,-123.138563,2,14,16
Nicola & Robson,49.288011,-123.132006,3,14,18
Carrall & Hastings,49.28117,-123.104419,14,4,18
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,14,2,16
Stanley Park - Second Beach North,49.29534,-123.150433,16,0,16
Stanley Park - Second Beach South,49.294318,-123.148808,18,0,18
Stanley Park - Totem Poles,49.298657,-123.121176,9,11,20
Heather & 14th,49.259183,-123.120126,11,5,16
8th & Ontario,49.263837,-123.105173,2,14,16
1st & Chestnut,49.270721,-123.146175,21,5,26
7th & Arbutus,49.265605,-123.152566,9,7,16
5th & Arbutus,49.267222,-123.153157,9,7,16
10th & Oak,49.262255,-123.126217,13,16,30
Arbutus & 16th,49.257654,-123.153212,5,35,40
Cypress & 14th,49.25919,-123.148268,5,7,12
Cypress & 16th,49.25741,-123.148531,7,5,12
Georgia & Thurlow,49.285953,-123.124066,6,5,12
Thurlow & Pendrell,49.280881,-123.130672,9,7,16
Heather & 16th,49.256845,-123.120071,4,8,12
14th & Ontario,49.25849,-123.104799,6,10,16
14th & Main,49.258425,-123.100792,9,5,14
David Lam Park,49.270905,-123.126006,9,9,18
Beach & Seymour,49.273568,-123.129935,6,12,18
Richards & Helmcken,49.277141,-123.122589,10,7,18
Burrard & 4th,49.267859,-123.145782,9,7,16
Burrard & 7th,49.265336,-123.145823,2,14,16
Charleson Park,49.267628,-123.127698,9,5,14
Chestnut & McNicoll,49.275938,-123.145939,13,3,16
Creekside Park North,49.2756,-123.102661,10,8,18
Alexander & Main,49.284157,-123.099917,14,6,20
Arbutus Greenway & 14th,49.258924,-123.152591,10,10,20
Arbutus Greenway & Fir,49.266774,-123.141135,9,7,16
Kitsilano Beach Park,49.273355,-123.154493,3,33,36
Arbutus & McNicoll,49.276144,-123.151272,10,20,30
Vine & 4th,49.268339,-123.157443,2,16,18
Alexander & Dunlevy,49.284062,-123.095097,13,0,14
Alder & 11th,49.261742,-123.13148,3,10,14
10th & Columbia,49.262206,-123.109091,11,3,14
1st & Manitoba,49.27023,-123.10651,20,8,28
10th & Ontario,49.262062,-123.104656,4,16,20
Quebec & 1st,49.27033,-123.10275,12,6,18
Columbia & 14th,49.258902,-123.109596,6,8,14
7th & Laurel,49.265071,-123.123864,9,5,14
7th &  Alder,49.265198,-123.131043,5,11,16
Science World,49.273691,-123.102232,15,1,16
1st & Scotia,49.2685027,-123.0975014,15,5,20
Rogers Tower,49.288682,-123.11818,6,12,18
York & Yew,49.271741,-123.155421,7,12,20
Pine & 10th,49.262822,-123.14338,15,5,20
8th & Scotia,49.263635,-123.099236,6,6,12
Alberni & Jervis,49.28763,-123.127245,5,15,20
Stanley Park - Information Booth,49.297933,-123.130758,6,13,20
14th & Alder,49.258819,-123.131317,8,6,14
Pender & Gore,49.280284,-123.097052,5,9,14
Carrall & Seawall,49.276294,-123.106534,10,7,18
Glen & Union,49.277469,-123.081315,10,4,14
Adanac & McLean,49.277665,-123.073653,19,3,22
Commercial & Adanac,49.277436,-123.070427,3,13,16
Pender & Commercial,49.280332,-123.070068,1,15,16
Keefer & Princess,49.279369,-123.091241,1,13,14
Alexander & Railway,49.283992,-123.091206,20,1,20
Napier & Commercial,49.274881,-123.069323,1,13,14
Britannia Parking Lot,49.275882,-123.071865,8,6,14
Thornton & National,49.273777,-123.092723,8,6,14
Keith & 6th,49.265005,-123.079481,21,7,28
Grant & Commercial,49.271377,-123.069416,1,13,14
2nd & Commercial,49.268616,-123.069908,5,17,22
4th & Commercial,49.266969,-123.069936,2,11,14
8th & Commercial,49.263242,-123.070521,2,18,20
10th & Commercial,49.261403,-123.070102,2,24,26
Woodland & 10th,49.261263,-123.073707,9,5,14
Glen & Broadway,49.262242,-123.081459,4,14,18
St George & Broadway,49.262321,-123.09306,2,12,14
Woodland & 4th,49.266751,-123.073501,3,11,14
Woodland & Graveley,49.270684,-123.073562,4,8,12
Charles & Woodland,49.2731,-123.0732,4,10,14
18th & Main,49.254667,-123.101389,2,14,16
Prince Edward & 16th,49.256694,-123.096579,7,7,14
Prince Edward & 14th,49.258352,-123.096337,7,7,14
13th & St George,49.258817,-123.092797,1,15,16
10th & Fraser,49.26151,-123.089413,1,13,14
8th & Fraser,49.263382,-123.088837,2,14,16
St Catherines & 10th,49.261353,-123.085333,1,11,12
St Catherines & 7th,49.264466,-123.085183,8,12,20
Pender & Victoria,49.280197,-123.065859,1,15,16
Victoria & 4th,49.266725,-123.065925,8,8,16
Victoria & 10th,49.261188,-123.066009,1,10,12
Triumph & Victoria,49.283986,-123.065264,8,8,16
Windsor & 14th,49.257985,-123.083366,3,11,14
14th & Fraser,49.257939,-123.089531,1,15,16
15th & Knight,49.256496,-123.075426,8,6,14
Commercial & Pandora,49.283236,-123.070443,8,8,16
Carolina & Great Northern Way,49.267266,-123.090786,7,9,16
6th & Prince Edward,49.265242,-123.095577,6,10,16
6th & Carolina,49.265213,-123.090785,2,14,16
Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,17,21,38
Union & Dunlevy,49.277595,-123.09583,8,8,16
Keefer & Hawks,49.279235,-123.087528,11,5,16
Hawks & Union,49.277333,-123.087359,7,9,16
10th & Kingsway,49.261973,-123.09725,3,17,20
Beach & Hornby,49.275295,-123.132585,8,14,22
Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,17,11,28
Bute & Barclay,49.284893,-123.128685,2,12,14
8th & Yukon,49.263962,-123.112621,4,18,22
Princess & Union,49.277615,-123.091654,2,10,12
Dunsmuir & Richards,49.282214,-123.114101,18,3,22
5th & Main,49.266456,-123.100324,12,8,20
3rd & Quebec,49.268216,-123.103168,13,7,20
Richards & Cordova,49.284554,-123.111031,10,6,16
Richards & Robson,49.280216,-123.117639,18,2,20
Olympic Village Station,49.266314,-123.116011,14,12,26
Campbell & Hastings,49.280852,-123.084746,8,6,14
Cardero & Davie,49.285512,-123.1384,3,13,18
Aquatic Centre,49.27821,-123.136972,28,12,40
Beach & Broughton,49.281301,-123.139108,9,13,22
Beach & Cardero,49.283298,-123.142288,15,7,22
Georgia & Homer,49.280787,-123.115271,16,2,18
Columbia & 5th,49.266476,-123.109389,13,5,18
Haro & Denman,49.290587,-123.13625,17,3,20
Arbutus & 10th,49.262835,-123.152626,6,12,18
Ontario & 16th,49.256825,-123.105234,1,13,14
Richards & Davie,49.275683,-123.124388,8,6,14
Jervis & Robson,49.28691,-123.128818,11,9,20
Smithe & Burrard,49.282503,-123.124697,8,10,18
Broughton & Davie,49.283749,-123.136133,4,15,22
Cypress & 10th,49.262944,-123.148109,1,13,14
Granville Island,49.27029,-123.135025,21,11,32
McLean & Pender,49.280427,-123.074082,5,11,16
Richards & Smithe,49.279259,-123.119145,9,9,18
Bute & Robson,49.285836,-123.127265,20,6,26
Trafalgar & Cornwall,49.272969,-123.164325,8,12,20
Alma & Point Grey,49.27247,-123.185643,2,22,24
Point Grey & Blenheim,49.271471,-123.17731,3,11,14
Hastings & Broughton,49.290112,-123.127062,21,3,24
Yew & Broadway,49.263523,-123.155267,7,11,18
8th & Macdonald,49.264928,-123.168068,8,14,22
Balaclava & Broadway,49.264483,-123.173926,9,9,18
Dunbar & Broadway,49.264579,-123.18373,10,16,26
Grandview & Commercial,49.263746,-123.069892,2,14,16
14th & Oak,49.258761,-123.127071,6,8,14
Wallace & 4th,49.268974,-123.190701,15,3,18
Balsam & Cornwall,49.273011,-123.159663,6,14,20
Balaclava & 6th,49.266924,-123.173849,13,3,16
Trafalgar & Broadway,49.264326,-123.164725,11,5,16
Dunbar & 6th,49.266636,-123.183661,10,6,16
18th & Cambie,49.254818,-123.114785,3,20,24
Blenheim & 4th,49.268837,-123.177633,7,16,23
Heather & 18th,49.255034,-123.120226,8,8,16
Point Grey & Bayswater,49.271044,-123.170661,7,9,16
20th & Main,49.252691,-123.101289,11,5,16
Station & Terminal,49.272172,-123.097978,17,1,18
Jericho Beach,49.271082,-123.191458,18,16,34
Burrard & Drake,49.27808,-123.130557,4,20,24
Columbia & 1st,49.269969,-123.109623,15,9,24
Davie & Beach,49.287528,-123.142139,13,15,30
Morton & Denman,49.28803,-123.142135,18,8,26
Nelson & Denman,49.2890705989865,-123.138407369468,10,7,18
Melville & Bute,49.287782,-123.12395,12,2,14
Seymour & Cordova,49.28512,-123.11242,17,2,19
Arbutus & Nanton,49.247854,-123.153422,13,5,18
Yukon & 6th,49.265939,-123.1129,10,8,18
11th & Kingsway,49.261122,-123.097571,4,10,16
Wylie & 2nd,49.267725,-123.11311,11,7,18
29th & Cambie,49.245135,-123.116098,10,10,20
Rolston & Granville,49.274232,-123.129998,5,11,16
East Blvd & 37th,49.238105,-123.154966,4,16,20
28th & Willow,49.246243,-123.124373,13,7,20
30th & Ontario,49.243375,-123.104978,2,20,22
Franklin & Nanaimo,49.282087,-123.056909,8,12,20
Wall & Eton,49.287464,-123.060771,5,13,18
Lakewood & Oxford,49.285575,-123.061575,2,16,18
22nd & Cambie,49.251358,-123.115637,5,9,14
King Edward & Cambie,49.249184,-123.116141,13,5,18
Heather & 29th,49.245535,-123.120496,10,12,22
Cardero & Robson,49.289255,-123.132677,17,9,26
Burrard & 14th,49.259469,-123.145718,15,3,18
Hornby & Drake,49.277178,-123.13,8,15,24
Cardero & Bayshore,49.291597,-123.129158,12,7,20
27th & Main,49.247204,-123.101549,2,20,22
Cordova & Granville,49.2856698,-123.1125432,16,1,18
22nd & Main,49.25094,-123.101306,8,6,14
1st & Fir,49.270783,-123.141564,1,19,20
Sasamat & 10th,49.264019,-123.209176,12,10,22
Trimble & 8th,49.2658,-123.20596,5,14,20
Highbury & 8th,49.265442,-123.187738,1,19,20
IK Barber Learning Centre,49.267561,-123.252261,8,12,20
War Memorial Gym,49.2665793,-123.2485487,10,18,28
Pharmaceutical Sciences,49.26262,-123.2431,11,13,24
Georgia & Main,49.278529,-123.100017,4,16,20
Bute & Davie,49.282047,-123.133057,5,15,20
Robson & Beatty,49.277773,-123.114237,15,5,20
West Mall Swing Space Building,49.263073,-123.254307,8,12,20
Orchard Commons,49.259999,-123.250902,11,15,26
Wesbrook Village - Berton & Shrum,49.25478,-123.23621,4,24,28
